,Vacancies,Companies,Deadlines,Locations,Individual Pages
0,Retail Manager,Adjarabet.am,31 July 2020,Yerevan,https://staff.am/en/retail-manager
1,Գործադիր տնօրեն,Partner Company,17 July 2020,Yerevan,https://staff.am/en/gorcadir-tnoren-3
2,Content Strategist,Cypress,31 July 2020,Yerevan,https://staff.am/en/content-strategist
3,Senior Software Engineer,Workfront Armenia,31 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-73
4,React.js Developer,Fast Shift LLC,31 July 2020,Yerevan,https://staff.am/en/reactjs-developer-93
5,HR Specialist,Veolia Armenia,31 July 2020,Yerevan,https://staff.am/en/hr-specialist-108
6,Scrum Master,Webb Fontaine Holding LLC,24 July 2020,Yerevan,https://staff.am/en/scrum-master-95
7,Digital Marketing Manager,Digitain ,31 July 2020,Yerevan,https://staff.am/en/digital-marketing-manager-39
8,Marketing Administrative Assistant,Globbing,20 July 2020,Yerevan,https://staff.am/en/marketing-administrative-assistant-1
9,IT projects manager,VEON Armenia CJSC,22 July 2020,Yerevan,https://staff.am/en/it-projects-manager-1
10,Senior Mobile Software Engineer in Test,PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-mobile-software-engineer-in-test-19
11, Development senior specialist,VEON Armenia CJSC,22 July 2020,Yerevan,https://staff.am/en/development-senior-specialist-3
12,Նախագծի ղեկավարի օգնական,Atenk Ltd,29 July 2020,Yerevan,https://staff.am/en/naxagci-gekavari-ognakan-10
13,Experienced Project Manager,FLUX Technologies,31 July 2020,Yerevan,https://staff.am/en/experienced-project-manager-8
14,React.js Developer (Mid/Senior),Priotix,31 July 2020,Yerevan,https://staff.am/en/reactjs-developer-midsenior-5
15,Creative Account Manager,Publicis Hepta LLC,15 July 2020,Yerevan,https://staff.am/en/creative-account-manager-1
16,Graphic Designer,Publicis Hepta LLC,15 July 2020,Yerevan,https://staff.am/en/graphic-designer-376
17,QA Engineer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/qa-engineer-509
18,Web Designer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/web-designer-73
19,Product Designer,PicsArt,31 July 2020,Yerevan,https://staff.am/en/product-designer-26
20,Quality Assurance Team Lead,PicsArt,31 July 2020,Yerevan,https://staff.am/en/quality-assurance-team-lead-22
21,QA Engineer (Web),PicsArt,31 July 2020,Yerevan,https://staff.am/en/web-qa-engineer-15
22,"Backend Engineer, Computer Vision",PicsArt,31 July 2020,Yerevan,https://staff.am/en/backend-engineer-computer-vision-13
23,"Backend Engineer, User Behavior",PicsArt,31 July 2020,Yerevan,https://staff.am/en/backend-engineer-user-behavior-13
24,"Senior Backend Engineer, Computer Vision",PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-backend-engineer-computer-vision-13
25,"Senior Backend Engineer, User Behavior",PicsArt,31 July 2020,Yerevan,https://staff.am/en/senior-backend-engineer-user-behavior-13
