Names,Category,Time_Open,Link,Rating
12 Կտոր Պիցցա,Իտալական,11:00 - 23:00,https://www.menu.am/restaurant/12-ktor-pizza.html,4.3
Քեյ Էֆ Սի ,"Ամերիկյան, Բուրգեր և Սենդվիչ",10:00 - 23:55,https://www.menu.am/restaurant/kfc-mashtots-avenue.html,4.3
Պիցցա Պինո,Իտալական,10:00 - 03:00,https://www.menu.am/restaurant/pizza-pino.html,4.5
Թաուկ,Արևելյան,11:00 - 00:00,https://www.menu.am/restaurant/tawouk.html,4.4
Բելիսիմա բայ Բելլա Իտալիա,Իտալական,11:00 - 23:30,https://www.menu.am/restaurant/bellissima-by-bella-italia.html,4.5
Մուռակամի,Ճապոնական,12:00 - 01:00,https://www.menu.am/restaurant/murakami.html,4.4
Դու Իթ,Առողջ ապրելակերպ,10:00 - 22:00,https://www.menu.am/restaurant/do-eat.html,5
Տանթունի,Արևելյան,10:00 - 22:00,https://www.menu.am/restaurant/tantuni.html,4.2
Զանազան,Արևելյան,11:00 - 00:00,https://www.menu.am/restaurant/zanazan.html,5
Լեդի Ջի Քեյք ,Քաղցրավենիք,09:30 - 18:00,https://www.menu.am/restaurant/lady-g-cake.html,0
Էլեն Քեյք,Քաղցրավենիք,10:00 - 19:00,https://www.menu.am/restaurant/elen-cake.html,5
Էպիկուր,Եվրոպական,10:00 - 00:30,https://www.menu.am/restaurant/epicure.html,3.6
Զառա Ռեստորան,"Ասիական, Հնդկական",11:00 - 22:00,https://www.menu.am/restaurant/zara-restaurant.html,3.7
Մոնրո Ռեստորան,"Եվրոպական, Իտալական",12:00 - 23:30,https://www.menu.am/restaurant/monroe-cafe.html,3.6
Մոն Կաֆե,Եվրոպական,11:00 - 23:00,https://www.menu.am/restaurant/mon-cafe.html,1
Անտառային Ձայներ,Հայկական,10:00 - 01:00,https://www.menu.am/restaurant/antarayin-dzayner.html,2.7
Ջազզվե դեսերտ,"Քաղցրավենիք, Կարկանդակ",10:00 - 22:00,https://www.menu.am/restaurant/jazzve-dessert.html,4.6
Մերի Պարֆյում,Գեղեցկություն և առողջություն,10:30 - 20:30,https://www.menu.am/restaurant/mary-parfum.html,5
Սեյ Չիզ,"Գաստրոնոմ, Եվրոպական",13:00 - 21:00,https://www.menu.am/restaurant/say-cheese.html,0
Emflowers.com,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/emflowerscom.html,0
Մեգասպորտ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 22:00,https://www.menu.am/restaurant/megasport-gift-card.html,0
Օլիմպ Սպորտ Սնունդ,Գաստրոնոմ,13:00 - 20:00,https://www.menu.am/restaurant/olimp-sport.html,0
Էլի ս Լահմաջուն,Սիրիական,10:00 - 20:00,https://www.menu.am/restaurant/elie-s-lahmajun.html,4.6
Պիցցա Է Վինո,"Եվրոպական, Իտալական",10:00 - 23:00,https://www.menu.am/restaurant/pizza-e-vino.html,0
Տաք Կճուճ Ֆուդ Կորտ,Իտալական,09:00 - 18:00,https://www.menu.am/restaurant/taq-kchuch-food-court.html,5
ՍԻՍ Նատուրալ,"Արտադրված է Հայաստանում, Գաստրոնոմ, Ըմպելիքներ և Խորտիկներ",09:00 - 18:00,https://www.menu.am/restaurant/sis-natural-yan.html,0
ԱրմԱս,"Արտադրված է Հայաստանում, Ըմպելիքներ և Խորտիկներ",10:00 - 22:00,https://www.menu.am/restaurant/armas.html,0
Էմիլի ծաղկի սրահ,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/emily-flower-shop.html,3.4
Ֆեյմըս Կալյան,Նարգիլե և Սիգար,00:00 - 01:30,https://www.menu.am/restaurant/famous-kalyan-new.html,0
Ղարաբաղի Ժենգյալով Հաց,"Արցախյան, Հայկական",09:00 - 19:00,https://www.menu.am/restaurant/gharabaghi-jengyalov-hats.html,4
Հանս ընդ Ֆրանց,"Ամերիկյան, Եվրոպական",12:00 - 00:00,https://www.menu.am/restaurant/hans-and-franz.html,3.5
Թեյք Ուեյ,Հայկական,11:00 - 17:00,https://www.menu.am/restaurant/take-away.html,0
Թումանյան Ֆրեշ,"Ֆրեշ, Պաղպաղակ",11:00 - 02:00,https://www.menu.am/restaurant/tumanyan-fresh.html,0
Ռեդի Լանչիս,Հայկական,09:00 - 18:00,https://www.menu.am/restaurant/ready-lunches.html,0
Պատառիկ,"Քաղցրավենիք, Բուրգեր և Սենդվիչ",08:00 - 18:00,https://www.menu.am/restaurant/patarik.html,0
Չիզի,Եվրոպական,11:00 - 00:00,https://www.menu.am/restaurant/cheesy-cafe.html,5
Գարեջրի խանութ,Գարեջրատուն և Փաբ,11:00 - 23:45,https://www.menu.am/restaurant/beer-shop.html,0
Լա Վիստա,"Եվրոպական, Հայկական",12:00 - 22:00,https://www.menu.am/restaurant/la-vista.html,5
Խմորի Աշխարհ,Հացաբուլկեղեն,09:00 - 15:00,https://www.menu.am/restaurant/world-of-dough.html,5
Էգոիստ,ՆՎԵՐ ՔԱՐՏԵՐ,11:00 - 22:00,https://www.menu.am/restaurant/egoiste-gift-card.html,0
Արտբրիջ Նվեր Քարտ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 23:00,https://www.menu.am/restaurant/artbridge-gift-card.html,0
ՉոկոՅԱՆ,"Քաղցրավենիք, Արտադրված է Հայաստանում",10:00 - 23:00,https://www.menu.am/restaurant/chocoyan.html,0
Կոկո Ֆիորի,Ծաղիկներ և Փուչիկներ,10:00 - 23:00,https://www.menu.am/restaurant/coco-fiori.html,3
