,Name,Wins,Losses,Link,Age,Weight(lbs),Height(cm),Reach(cm)
0,Daniel Cormier,22,2,https://en.wikipedia.org/wiki/Daniel_Cormier,41,251,180,184
1,Francis Ngannou,15,3,https://en.wikipedia.org/wiki/Francis_Ngannou,33,259,193,211
2,Curtis Blaydes,14,2,https://en.wikipedia.org/wiki/Curtis_Blaydes,29,261,193,200
3,Derrick Lewis,23,7,https://en.wikipedia.org/wiki/Derrick_Lewis_(fighter),35,265,191,201
4,Junior dos Santos,21,7,https://en.wikipedia.org/wiki/Junior_dos_Santos,36,248,193,200
5,Jairzinho Rozenstruik,10,1,https://en.wikipedia.org/wiki/Jairzinho_Rozenstruik,32,260,188,198
6,Alistair Overeem,46,18,https://en.wikipedia.org/wiki/Alistair_Overeem,40,253,193,203
7,Alexander Volkov,31,8,https://en.wikipedia.org/wiki/Alexander_Volkov_(fighter),31,246,201,203
8,Augusto Sakai,15,1,https://en.wikipedia.org/wiki/Augusto_Sakai,29,264,191,196
9,Walt Harris,13,8,https://en.wikipedia.org/wiki/Walt_Harris_(fighter),37,264,196,196
10,Aleksei Oleinik,59,13,https://en.wikipedia.org/wiki/Aleksei_Oleinik,43,227,188,207
11,Shamil Abdurakhimov,20,5,https://en.wikipedia.org/wiki/Shamil_Abdurakhimov,38,256,191,193
12,Sergei Pavlovich,14,1,https://en.wikipedia.org/wiki/Sergei_Pavlovich,28,265,191,213
13,Fabrício Werdum,23,9,https://en.wikipedia.org/wiki/Fabr%C3%ADcio_Werdum,42,243,193,196
14,Ciryl Gane,6,0,https://en.wikipedia.org/wiki/Ciryl_Gane,30,245,196,208
15,Dominick Reyes,12,1,https://en.wikipedia.org/wiki/Dominick_Reyes,30,205,193,196
16,Thiago Santos,21,7,https://en.wikipedia.org/wiki/Thiago_Santos_(fighter),36,205,188,193
17,Jan Błachowicz,26,8,https://en.wikipedia.org/wiki/Jan_B%C5%82achowicz,37,205,188,198
18,Corey Anderson,13,5,https://en.wikipedia.org/wiki/Corey_Anderson_(fighter),30,205,191,201
19,Glover Teixeira,31,7,https://en.wikipedia.org/wiki/Glover_Teixeira,40,205,188,193
20,Anthony Smith ,32,15,https://en.wikipedia.org/wiki/Anthony_Smith_(mixed_martial_artist),31,206,193,193
21,Alexander Gustafsson,18,6,https://en.wikipedia.org/wiki/Alexander_Gustafsson,33,205,196,201
22,Jiří Procházka,27,3,https://en.wikipedia.org/w/index.php?title=Ji%C5%99%C3%AD_Proch%C3%A1zka_(mixed_martial_artist)&action=edit&redlink=1,30,205,188,191
23,Volkan Oezdemir,17,5,https://en.wikipedia.org/wiki/Volkan_Oezdemir,28,205,193,198
24,Aleksandar Rakić,12,2,https://en.wikipedia.org/wiki/Aleksandar_Raki%C4%87_(fighter),28,205,191,195
25,Nikita Krylov,26,7,https://en.wikipedia.org/wiki/Nikita_Krylov,33,205,191,197
26,Misha Cirkunov,15,5,https://en.wikipedia.org/wiki/Misha_Cirkunov,28,205,198,196
27,Johnny Walker,17,5,https://en.wikipedia.org/wiki/Johnny_Walker_(fighter),28,205,196,208
28,Ryan Spann,18,5,https://en.wikipedia.org/wiki/Ryan_Spann,28,205,188,205
29,Magomed Ankalaev,14,1,https://en.wikipedia.org/wiki/Magomed_Ankalaev,29,185,183,207
30,Robert Whittaker,20,5,https://en.wikipedia.org/wiki/Robert_Whittaker_(fighter),29,185,183,191
31,Paulo Costa,13,0,https://en.wikipedia.org/wiki/Paulo_Costa_(fighter),36,185,180,187
32,Jared Cannonier,13,4,https://en.wikipedia.org/wiki/Jared_Cannonier,43,185,178,183
33,Yoel Romero,13,5,https://en.wikipedia.org/wiki/Yoel_Romero,27,185,183,197
34,Darren Till,18,2,https://en.wikipedia.org/wiki/Darren_Till,32,185,185,187
35,Jack Hermansson,21,5,https://en.wikipedia.org/wiki/Jack_Hermansson,28,186,175,189
36,Kelvin Gastelum,15,6,https://en.wikipedia.org/wiki/Kelvin_Gastelum,36,185,185,197
37,Derek Brunson,20,7,https://en.wikipedia.org/wiki/Derek_Brunson,22,185,188,182
38,Edmen Shahbazyan,11,0,https://en.wikipedia.org/wiki/Edmen_Shahbazyan,35,185,183,196
39,Uriah Hall,15,9,https://en.wikipedia.org/wiki/Uriah_Hall,32,185,183,188
40,Omari Akhmedov,20,4,https://en.wikipedia.org/wiki/Omari_Akhmedov,32,185,185,202
41,Brad Tavares,17,6,https://en.wikipedia.org/wiki/Brad_Tavares,31,185,180,185
42,Ian Heinisch,13,3,https://en.wikipedia.org/wiki/Ian_Heinisch,26,184,183,188
43,Marvin Vettori,15,4,https://en.wikipedia.org/wiki/Marvin_Vettori,30,185,185,183
44,Antonio Carlos Junior,10,4,https://en.wikipedia.org/wiki/Antonio_Carlos_Junior,34,170,178,188
45, Gilbert Burns,19,3,https://en.wikipedia.org/wiki/Gilbert_Burns_(fighter),32,170,180,201
46,Colby Covington,15,2,https://en.wikipedia.org/wiki/Colby_Covington,28,170,183,180
47,Leon Edwards,18,3,https://en.wikipedia.org/wiki/Leon_Edwards,35,170,180,183
48,Jorge Masvidal,35,14,https://en.wikipedia.org/wiki/Jorge_Masvidal,38,170,175,188
49,Tyron Woodley,19,5,https://en.wikipedia.org/wiki/Tyron_Woodley,37,170,183,188
50, Stephen Thompson,15,4,https://en.wikipedia.org/wiki/Stephen_Thompson_(fighter),42,170,185,188
51,Demian Maia,28,10,https://en.wikipedia.org/wiki/Demian_Maia,32,171,185,191
52,Michael Chiesa,17,4,https://en.wikipedia.org/wiki/Michael_Chiesa,35,171,173,190
53,Rafael Dos Anjos,29,13,https://en.wikipedia.org/wiki/Rafael_Dos_Anjos,29,170,180,192
