,Vacancies,Companies,Deadlines,Locations,Individual Pages
0,Digital Marketing Specialist /Storyteller,SFL,30 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-storyteller
1,"Public Communications and Outreach Officer, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/public-communications-and-outreach-officer-armenia-integrity-project
2,Senior React.js Developer,MOA Communications,30 July 2020,Yerevan,https://staff.am/en/senior-reactjs-developer-62
3,"Senior Governance Officer, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/senior-governance-officer
4,"Deputy Chief of Party, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/deputy-chief-of-party
5,Medical equipment representative ,Med Standard,29 July 2020,Yerevan,https://staff.am/en/medical-equipment-representative-2
6,Junior Accountant,Step Consulting LLC,20 July 2020,Yerevan,https://staff.am/en/junior-accountant-21
7,Trainer,«Teghout» CJSC ,08 July 2020,Alaverdi,https://staff.am/en/trainer-16
8,Digital Marketing Specialist,Network Zone,30 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-216
9,Անվտանգության աշխատակից (իգական),Atenk Ltd,15 July 2020,Yerevan,https://staff.am/en/anvtangutyan-asxatakic-igakan-1
10,Graphic Designer ,Network Zone,30 July 2020,Yerevan,https://staff.am/en/graphic-designer-373
11,Senior Product Manager - Mobile Applications,DISQO,30 July 2020,Yerevan,https://staff.am/en/senior-product-manager-mobile-applications-1
12,"Associate Software Development Engineer in Test , Front-End",DISQO,30  July 2020,Yerevan,https://staff.am/en/associate-software-development-engineer-in-test-front-end
13,QA tester, Joomag,30 July 2020,Yerevan,https://staff.am/en/qa-tester-11
14,SMM specialist ,Renderforest,30 July 2020,Yerevan,https://staff.am/en/smm-specialist-333
15,System Administrator/DevOps,Հայ-Թեք Գեթվեյ ՍՊԸ հ/մ,30 July 2020,Yerevan,https://staff.am/en/system-administratordevops-10
16,ՏԵԽՆԻԿԱԿԱՆ ԱՋԱԿՑՈՒԹՅԱՆ ՄԱՍՆԱԳԵՏ,Հայ-Թեք Գեթվեյ ՍՊԸ հ/մ,30 July 2020,Yerevan,https://staff.am/en/texnikakan-ajakcutyan-masnaget-18
17,ՄԱՐՔԵԹԻՆԳԻ ՄԱՍՆԱԳԵՏ,Genacvale Tavern,30 July 2020,Yerevan,https://staff.am/en/marketingi-masnaget-72
18,"DevOps Engineer, Communications Services",DataArt Armenia,30 July 2020,Yerevan,https://staff.am/en/devops-engineer-communications-services
19, Translator,FCl Urartu SNGO,30 July 2020,Yerevan,https://staff.am/en/translator-23
20,Experienced UI-UX Designer/UI Artist,MINNOVA.AM,30 July 2020,Yerevan,https://staff.am/en/experienced-ui-ux-designerui-artist
21,Junior/Mid Game UI Engineer (bootcamp),Rockbite Games,08 July 2020,Yerevan,https://staff.am/en/juniormid-game-ui-engineer-bootcamp-1
22,"Chief of Party, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/chief-of-party-armenia-integrity-project
23,Cashier,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/cashier-49
24, Junior Expert /Facilitator of National Determined Contributions Implementation in Armenia,UNDP Armenia Office,07 July 2020,Yerevan,https://staff.am/en/junior-expert-facilitator-of-national-determined-contributions-implementation-in-armenia
25,«Իջևան» մասնաճյուղի շրջիկ ԸԱ «Տավուշ» ծրագրի սոցիալական աշխատող,SOS Children's Villages Armenia,15 July 2020,Noyemberyan,https://staff.am/en/ijevan-masnacyugi-srjik-a-tavus-cragri-socialakan-asxatog-1
26,Back-End Software Engineer,BIVAC Armenia CJSC,30 July 2020,Yerevan,https://staff.am/en/back-end-software-engineer-6
27,Գլխավոր հաշվապահի տեղակալ,ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,30 July 2020,Yerevan,https://staff.am/en/deputy-chief-accountant-19
28,Front-End Developer,BIVAC Armenia CJSC,30 July 2020,Yerevan,https://staff.am/en/front-end-developer-364
29,Inbound Communication Team Specialist,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/inbound-communication-team-specialist-2
30,Engineering Project Manager,National Instruments AM LLC,29 July 2020,Yerevan,https://staff.am/en/engineering-project-manager
31,Mid/Senior Angular Developer,Digitain ,15 July 2020,Yerevan,https://staff.am/en/midsenior-angular-developer-9
32,Պրոցեսինգային համակարգի մասնագետ,Easy Pay LLC,29 July 2020,Yerevan,https://staff.am/en/procesingayin-hamakargi-masnaget-1
